127.0.0.1 - - [06/Aug/2023:16:06:56 +0900] "GET / HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:03 +0900] "GET / HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:03 +0900] "GET /resources/js/login.js HTTP/1.1" 200 3129
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:03 +0900] "GET /resources/css/login.css HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:03 +0900] "GET /resources/img/login_none.png HTTP/1.1" 200 10533
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:03 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:42 +0900] "POST /member/signup HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:44 +0900] "GET / HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:51 +0900] "POST /member/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:51 +0900] "GET /main/start HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:51 +0900] "GET /resources/img/loding.gif HTTP/1.1" 200 2255235
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:53 +0900] "GET /main/main HTTP/1.1" 200 23289
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:53 +0900] "GET /resources/js/main.js HTTP/1.1" 200 31077
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:53 +0900] "GET /resources/css/main.css HTTP/1.1" 200 16504
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:53 +0900] "GET /resources/img/logo.png HTTP/1.1" 200 4637
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:53 +0900] "GET /resources/img/login.png HTTP/1.1" 200 83339
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:53 +0900] "GET /resources/img/js_2.png HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:53 +0900] "GET /resources/img/html_35px.png HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:53 +0900] "GET /resources/img/mysql_2.png HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:07:53 +0900] "GET /resources/img/jsp.png HTTP/1.1" 200 1058
